    rows    dim dtype kern  acc      tpr  rpb     grid  block        ms      GB/s    %peak
  131072    128 f16   smem  native    32    1   131072     32    0.1723     389.5    86.9%
  131072    128 f16   smem  native    32    4   131072    128    0.2456     273.3    61.0%
  131072    128 f16   smem  native    32   16   131072    512    0.8783      76.4    17.1%
  131072    128 f16   smem  native    32    1   131072     32    0.1742     385.2    86.0%
  131072    128 f16   smem  native    32    4   131072    128    0.2455     273.3    61.0%
  131072    128 f16   smem  native    32   16   131072    512    0.8821      76.1    17.0%
  131072    128 bf16  smem  native    32    1   131072     32    0.1774     378.2    84.4%
  131072    128 bf16  smem  native    32    4   131072    128    0.2416     277.8    62.0%
  131072    128 bf16  smem  native    32   16   131072    512    0.8837      75.9    17.0%
  131072    128 bf16  smem  native    32    1   131072     32    0.1743     385.0    85.9%
  131072    128 bf16  smem  native    32    4   131072    128    0.2466     272.1    60.7%
  131072    128 bf16  smem  native    32   16   131072    512    0.8843      75.9    16.9%
  131072    128 bf16  smem  native    32    1   131072     32    0.1784     376.1    84.0%
  131072    128 bf16  smem  native    32    4   131072    128    0.2417     277.6    62.0%
  131072    128 bf16  smem  native    32   16   131072    512    0.8826      76.0    17.0%
    2048    256 f16   smem  native    32    1     2048     32    0.0069     304.9    68.1%
    2048    256 f16   smem  native    32    4     2048    128    0.0070     298.0    66.5%
    2048    256 f16   smem  native    32   16     2048    512    0.0124     168.8    37.7%
    2048    256 f16   smem  native    32    1     2048     32    0.0065     320.7    71.6%
    2048    256 f16   smem  native    32    4     2048    128    0.0076     277.6    62.0%
    2048    256 f16   smem  native    32   16     2048    512    0.0126     166.8    37.2%
    2048    256 f16   smem  native    32    1     2048     32    0.0068     306.7    68.4%
    2048    256 f16   smem  native    32    4     2048    128    0.0068     309.1    69.0%
    2048    256 f16   smem  native    32   16     2048    512    0.0124     168.9    37.7%
    2048    256 bf16  smem  native    32    1     2048     32    0.0061     344.6    76.9%
    2048    256 bf16  smem  native    32    4     2048    128    0.0071     296.0    66.1%
    2048    256 bf16  smem  native    32   16     2048    512    0.0124     169.3    37.8%
    2048    256 bf16  smem  native    32    1     2048     32    0.0067     313.0    69.9%
    2048    256 bf16  smem  native    32    4     2048    128    0.0068     307.7    68.7%
    2048    256 bf16  smem  native    32   16     2048    512    0.0125     168.3    37.6%
    2048    256 bf16  smem  native    32    1     2048     32    0.0064     329.1    73.5%
    2048    256 bf16  smem  native    32    4     2048    128    0.0069     304.3    67.9%
    2048    256 bf16  smem  native    32   16     2048    512    0.0124     168.8    37.7%
    8192    256 f16   smem  native    32    1     8192     32    0.0104     810.0   180.8%
    8192    256 f16   smem  native    32    4     8192    128    0.0124     676.3   150.9%
    8192    256 f16   smem  native    32   16     8192    512    0.0411     204.0    45.5%
    8192    256 f16   smem  native    32    1     8192     32    0.0104     808.4   180.4%
    8192    256 f16   smem  native    32    4     8192    128    0.0124     674.2   150.5%
    8192    256 f16   smem  native    32   16     8192    512    0.0411     204.0    45.5%
    8192    256 f16   smem  native    32    1     8192     32    0.0104     808.6   180.5%
    8192    256 f16   smem  native    32    4     8192    128    0.0125     671.3   149.8%
    8192    256 f16   smem  native    32   16     8192    512    0.0411     204.1    45.5%
    8192    256 bf16  smem  native    32    1     8192     32    0.0104     806.9   180.1%
    8192    256 bf16  smem  native    32    4     8192    128    0.0124     675.1   150.7%
    8192    256 bf16  smem  native    32   16     8192    512    0.0411     204.0    45.5%
    8192    256 bf16  smem  native    32    1     8192     32    0.0104     808.8   180.5%
    8192    256 bf16  smem  native    32    4     8192    128    0.0125     672.3   150.0%
    8192    256 bf16  smem  native    32   16     8192    512    0.0411     204.0    45.5%
    8192    256 bf16  smem  native    32    1     8192     32    0.0104     809.0   180.6%
    8192    256 bf16  smem  native    32    4     8192    128    0.0125     669.8   149.5%
    8192    256 bf16  smem  native    32   16     8192    512    0.0411     204.0    45.5%
   32768    256 f16   smem  native    32    1    32768     32    0.0366     917.6   204.8%
   32768    256 f16   smem  native    32    4    32768    128    0.0411     815.9   182.1%
   32768    256 f16   smem  native    32   16    32768    512    0.1629     205.9    46.0%
   32768    256 f16   smem  native    32    1    32768     32    0.0363     923.5   206.1%
   32768    256 f16   smem  native    32    4    32768    128    0.0411     816.3   182.2%
   32768    256 f16   smem  native    32   16    32768    512    0.1627     206.3    46.0%
   32768    256 f16   smem  native    32    1    32768     32    0.0367     915.4   204.3%
   32768    256 f16   smem  native    32    4    32768    128    0.0411     816.4   182.2%
   32768    256 f16   smem  native    32   16    32768    512    0.1628     206.2    46.0%
   32768    256 bf16  smem  native    32    1    32768     32    0.0363     923.9   206.2%
   32768    256 bf16  smem  native    32    4    32768    128    0.0411     816.1   182.2%
   32768    256 bf16  smem  native    32   16    32768    512    0.1577     212.8    47.5%
   32768    256 bf16  smem  native    32    1    32768     32    0.0365     918.4   205.0%
