    rows   dim dtype           impl         ms      GB/s
   65536   512   f16         memcpy     0.3502     383.3
   65536   512   f16         cublas     0.7625     176.0
   65536   512   f16        ref_fht     0.3541     379.0
   65536   512   f16 rotate+quant_fp8     2.2263      60.3
   65536   512   f16 rotate+quant_int4     2.6895      49.9
   65536   512  bf16         memcpy     0.3505     382.9
   65536   512  bf16         cublas     0.8238     162.9
   65536   512  bf16        ref_fht     0.3499     383.6
   65536   512  bf16 rotate+quant_fp8     2.2902      58.6
   65536   512  bf16 rotate+quant_int4     2.7504      48.8
  262144   512   f16         memcpy     1.4133     379.9
  262144   512   f16         cublas     3.0283     177.3
  262144   512   f16        ref_fht     1.4092     381.0
  262144   512   f16 rotate+quant_fp8     9.0132      59.6
  262144   512   f16 rotate+quant_int4    10.8161      49.6
  262144   512  bf16         memcpy     1.4065     381.7
  262144   512  bf16         cublas     3.2006     167.7
  262144   512  bf16        ref_fht     1.4077     381.4
  262144   512  bf16 rotate+quant_fp8     9.2020      58.3
  262144   512  bf16 rotate+quant_int4    11.0221      48.7
    1024  1024   f16         memcpy     0.0075     559.3
    1024  1024   f16         cublas     0.0597      70.3
    1024  1024   f16        ref_fht     0.0141     296.6
    1024  1024   f16 rotate+quant_fp8     0.0965      43.5
    1024  1024   f16 rotate+quant_int4     0.1190      35.2
    1024  1024  bf16         memcpy     0.0078     537.3
    1024  1024  bf16         cublas     0.0600      69.9
    1024  1024  bf16        ref_fht     0.0144     292.1
    1024  1024  bf16 rotate+quant_fp8     0.0984      42.6
    1024  1024  bf16 rotate+quant_int4     0.1083      38.7
    4096  1024   f16         memcpy     0.0106    1582.6
    4096  1024   f16         cublas     0.1966      85.3
    4096  1024   f16        ref_fht     0.0311     540.0
    4096  1024   f16 rotate+quant_fp8     0.2836      59.1
    4096  1024   f16 rotate+quant_int4     0.3124      53.7
    4096  1024  bf16         memcpy     0.0110    1521.4
    4096  1024  bf16         cublas     0.2218      75.6
    4096  1024  bf16        ref_fht     0.0311     539.1
    4096  1024  bf16 rotate+quant_fp8     0.3207      52.3
    4096  1024  bf16 rotate+quant_int4     0.3492      48.0
