rows,dim,dtype,impl,ms,gbps
65536,128,bf16,cublas,0.07034687995910645,476.98536195927426
65536,128,bf16,ref_fht,0.05171264171600342,648.8632351113474
65536,128,bf16,rotate+quant_fp8,0.3048940849304199,110.05274834261702
65536,128,bf16,rotate+quant_int4,0.3683148956298828,91.10256576133328
262144,128,f16,memcpy,0.35087806701660157,382.51957194477353
262144,128,f16,cublas,0.35309886932373047,380.1137292143113
262144,128,f16,ref_fht,0.352437744140625,380.82677077414905
262144,128,f16,rotate+quant_fp8,1.9116607666015626,70.21001337941581
262144,128,f16,rotate+quant_int4,2.3598150634765624,56.876375643719186
262144,128,bf16,memcpy,0.354031982421875,379.11187311902853
262144,128,bf16,cublas,0.3551007843017578,377.9708013428221
262144,128,bf16,ref_fht,0.3537932968139648,379.36763983003254
262144,128,bf16,rotate+quant_fp8,1.9208473205566405,69.87423027516063
262144,128,bf16,rotate+quant_int4,2.3618118286132814,56.828290202443796
1024,256,f16,memcpy,0.022890880107879638,45.80758778423084
1024,256,f16,cublas,0.07312064170837403,14.340355548054681
1024,256,f16,ref_fht,0.050277118682861326,20.855928650450746
1024,256,f16,rotate+quant_fp8,0.30698432922363283,3.415731358834705
1024,256,f16,rotate+quant_int4,0.3465030288696289,3.026166909480392
1024,256,bf16,memcpy,0.024932479858398436,42.056626775807466
1024,256,bf16,cublas,0.06074944019317627,17.260669343876227
1024,256,bf16,ref_fht,0.04843200206756592,21.6504780978735
1024,256,bf16,rotate+quant_fp8,0.3094688034057617,3.3883092203809437
1024,256,bf16,rotate+quant_int4,0.32942527770996094,3.183046569131856
4096,256,f16,memcpy,0.016634880304336547,252.13911511624084
4096,256,f16,cublas,0.06011648178100586,69.76961850959839
4096,256,f16,ref_fht,0.049330558776855465,85.0244575370156
4096,256,f16,rotate+quant_fp8,0.2708639907836914,15.484908081966196
4096,256,f16,rotate+quant_int4,0.29321535110473634,14.304517086834915
4096,256,bf16,memcpy,0.015461119413375855,271.2807454531001
4096,256,bf16,cublas,0.06007040023803711,69.82314057138792
4096,256,bf16,ref_fht,0.05031487941741943,83.36110606970662
4096,256,bf16,rotate+quant_fp8,0.27324159622192384,15.350166511959005
4096,256,bf16,rotate+quant_int4,0.28563264846801756,14.68425973884998
16384,256,f16,memcpy,0.019096959829330445,878.5281086590746
16384,256,f16,cublas,0.05523519992828369,303.7413827013066
16384,256,f16,ref_fht,0.03484096050262451,481.53712635839076
16384,256,f16,rotate+quant_fp8,0.21103872299194337,79.49828241066682
16384,256,f16,rotate+quant_int4,0.23887487411499023,70.23432691344398
16384,256,bf16,memcpy,0.01935807943344116,866.6777124086644
16384,256,bf16,cublas,0.05536831855773926,303.0111160501355
16384,256,bf16,ref_fht,0.03450176000595093,486.27130897398376
